id,AAA_Nombre,AAA_Direccion,AAA_Telefono,AAA_Email,radio,Estado,lat,lon,Tipo,Tipo2,Tipo3,Tipo4,Asociacion,Direccion,l1,l2,l3,l4
Puerto Palomas,CAAAREM,"Liverpool 88, Col. Juarez, CP. 06600, CDMX, ",01(55) 3300 7500 | Ext. 1443,guadalupe.bermudes@caaarem.mx,2,Chihuahua,31.8,-108.1,No,No,Terrestre,No,As 1,"Calle Internacional y Esq. Con Avenida 5 de Mayo S/N, Col. Centro, CP. 31830, Pto. Palomas, Chihuahua. ",No,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No
Ciudad Juarez,AAA de Ciudad Juarez,"Juan de la Barrera 279, Esq. Carlos Villareal, Col Margaritas, CP. 32300, Cd. Juárez, Chihuahua.",01(656) 692 24 00 al 05 ,dirctorjuridico@aaajuarez.org.mx,2,Chihuahua,31.4,-106.177333,No,No,Terrestre,Ferroviario,As 2,"Puente Libre de Cordova S/N, Col. Área de Chamizal, CP. 32310, Ciudad Juárez, Chihuahua.",No,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,http://www.activdesign.de/assets/images/lokomotive_aufkleber_001.jpg
Ojinaga,AAA de Ojinaga,"Zaragoza y Bolívar 400, Col Apartado Postal 13, CP. 32881, Ojinaga, Chihuahua.  ",01(626) 453 00 44,terrazas_vicky@msn.com,2,Chihuahua,29.6,-104.9333,No,No,Terrestre,No,As 1,"Zaragoza y Bolívar S/N, Col. Centro, CP. 32881, Ojinaga, Chihuauha.",No,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No
Chihuahua,AAA de Chihuahua,"República de Cuba 307,  Col. Panamericana, CP. 31200, Chihuahua, Chihuauha.",01(614) 414 07 08 | 414 03 88,admon@aaachih.org,2,Chihuahua,27.77025828,-107.1060524,Aereo,No,Terrestre,No,As 3,"Av. Homero 540, Col. Complejo Industrial Chihuahua, CP. 31109, Chihuahua, Chihuauha.",http://www.katiefreathy.com/wp-content/uploads/2015/06/40_departingflights.png,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No
Guaymas,AAA del Puerto de Guaymas,"Av. Julio Ramón Luebbert Selder 15-4, Col. Centro, CP. 85400, Guaymas, Sonora.",01(622) 22 56 56,,2,Sonora,28.1,-110.9,Aereo,Maritimo,Terrestre,No,As 2,"Av. Aquiles Serdán Esq. Calle 26, Col. Centro, CP. 85400, Guaymas,  Sonora.",http://www.katiefreathy.com/wp-content/uploads/2015/06/40_departingflights.png,http://www.iconninja.com/files/698/670/425/transportation-water-ship-icon.svg,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No
San Luis Rio Colorado,AAA de San Luis Rio Colorado,"Av. Álvaro Obregón 5004, Col. Parque Industrial, CP. 83455, San Luis Rio Colorado, Sonora.",01(653)534 97 22.,aaslrc@prodigy.net.mx,2,Sonora,32.3,-114.6,No,No,Terrestre,No,As 1,"Carretra Federal 2, Tramo San Luis Río Coloado, Sonoyta, Km 12+200, Col. Puerto Fronterizo, San Luis Río Colorado 2,  CP. 83400, San Luis Rio Colorado, Sonora.",No,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No
Sonoyta,CAAAREM,"Liverpool 88, Col. Juarez, CP. 06600, CDMX, ",01(55) 3300 7500 | Ext. 1443,guadalupe.bermudes@caaarem.mx,2,Sonora,31.7,-112.8,Aereo,Maritimo,Terrestre,No,As 1,"Blvd. de las Américas 290, Col. Ejido Hombres Blancos, CP. 83570, Sonoyta, Sonora.",http://www.katiefreathy.com/wp-content/uploads/2015/06/40_departingflights.png,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,http://www.iconninja.com/files/698/670/425/transportation-water-ship-icon.svg,No
Nogales,AAA de Nogales,"Calle Pirgos S/N, Col Kalithea, CP. 84000, Nogales, Sonora.",01(631) 313 25 60 | 313 66 99,enedia.mendivil@aaanogales.org,2,Sonora,31.25,-111.1060524,No,No,Terrestre,Ferroviario,As 1,"Nuevo Corredor Fiscal S/N Km. 12, Col Pto. Fronterizo Nogales 3,  CP. 84000, Nogales, Sonora.",No,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,http://www.activdesign.de/assets/images/lokomotive_aufkleber_001.jpg
Naco,CAAAEM,"Liverpool 88, Col. Juarez, CP. 06600, CDMX, ",01(55) 3300 7500 | Ext. 1443,guadalupe.bermudes@caaarem.mx,2,Sonora,31.25,-110.1060524,No,No,Terrestre,No,As 3,"Av. Fransisco y Madero 5, Col Centro, CP. 84180, Naco, Sonora.",No,No,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No
Agua Prieta,AAA de Agua Prieta,"Av. Ferrocarril No. 82, Entre Internacional y Call 1 pte; Col Ferrocarril, CP. 84200, Agua Prieta,  Sonora.",01(613) 338 456,aaap@mexico.com,2,Sonora,31.25,-109,Aereo,Maritimo,No,No,As 2,"Av. Panamericana 1 y 2, Col. Centro, CP. 84200, Agua Prieta, Sonora.",http://www.katiefreathy.com/wp-content/uploads/2015/06/40_departingflights.png,https://www.shareicon.net/data/128x128/2015/09/21/644363_truck_512x512.png,No,No
